"Code","National Grouping Name"
"QE1","NORTH WEST COMMISSIONING REGION"
"QF7","NORTH EAST AND YORKSHIRE COMMISSIONING REGION"
"QGH","MIDLANDS COMMISSIONING REGION"
"QH8","EAST OF ENGLAND COMMISSIONING REGION"
"QHG","EAST OF ENGLAND COMMISSIONING REGION"
"QHL","MIDLANDS COMMISSIONING REGION"
"QHM","NORTH EAST AND YORKSHIRE COMMISSIONING REGION"
"QJ2","MIDLANDS COMMISSIONING REGION"
"QJG","EAST OF ENGLAND COMMISSIONING REGION"
"QJK","SOUTH WEST COMMISSIONING REGION"
"QJM","MIDLANDS COMMISSIONING REGION"
"QK1","MIDLANDS COMMISSIONING REGION"
"QKK","LONDON COMMISSIONING REGION"
"QKS","SOUTH EAST COMMISSIONING REGION"
"QM7","EAST OF ENGLAND COMMISSIONING REGION"
"QMF","LONDON COMMISSIONING REGION"
"QMJ","LONDON COMMISSIONING REGION"
"QMM","EAST OF ENGLAND COMMISSIONING REGION"
"QNC","MIDLANDS COMMISSIONING REGION"
"QNQ","SOUTH EAST COMMISSIONING REGION"
"QNX","SOUTH EAST COMMISSIONING REGION"
"QOC","MIDLANDS COMMISSIONING REGION"
"QOP","NORTH WEST COMMISSIONING REGION"
"QOQ","NORTH EAST AND YORKSHIRE COMMISSIONING REGION"
"QOX","SOUTH WEST COMMISSIONING REGION"
"QPM","MIDLANDS COMMISSIONING REGION"
"QR1","SOUTH WEST COMMISSIONING REGION"
"QRL","SOUTH EAST COMMISSIONING REGION"
"QRV","LONDON COMMISSIONING REGION"
"QSL","SOUTH WEST COMMISSIONING REGION"
"QT1","MIDLANDS COMMISSIONING REGION"
"QT6","SOUTH WEST COMMISSIONING REGION"
"QU9","SOUTH EAST COMMISSIONING REGION"
"QUA","MIDLANDS COMMISSIONING REGION"
"QUE","EAST OF ENGLAND COMMISSIONING REGION"
"QUY","SOUTH WEST COMMISSIONING REGION"
"QVV","SOUTH WEST COMMISSIONING REGION"
"QWE","LONDON COMMISSIONING REGION"
"QWO","NORTH EAST AND YORKSHIRE COMMISSIONING REGION"
"QWU","MIDLANDS COMMISSIONING REGION"
"QXU","SOUTH EAST COMMISSIONING REGION"
"QYG","NORTH WEST COMMISSIONING REGION"
