"","Period","dm01_total_activity","CDC_total_activity","non_CDC_activity"
"1",2019-01-01,4111440,0,4111440
"2",2019-02-01,3712768,0,3712768
"3",2019-03-01,3991416,0,3991416
"4",2019-04-01,3851416,0,3851416
"5",2019-05-01,4008906,0,4008906
"6",2019-06-01,3874732,0,3874732
"7",2019-07-01,4147056,0,4147056
"8",2019-08-01,3833294,0,3833294
"9",2019-09-01,3911774,0,3911774
"10",2019-10-01,4232390,0,4232390
"11",2019-11-01,4065870,0,4065870
"12",2019-12-01,3708722,0,3708722
"13",2020-01-01,4167532,0,4167532
"14",2020-02-01,3841730,0,3841730
"15",2020-03-01,3089700,0,3089700
"16",2020-04-01,1232416,0,1232416
"17",2020-05-01,1763262,0,1763262
"18",2020-06-01,2479648,0,2479648
"19",2020-07-01,3089966,0,3089966
"20",2020-08-01,3095254,0,3095254
"21",2020-09-01,3450684,0,3450684
"22",2020-10-01,3630268,0,3630268
"23",2020-11-01,3572128,0,3572128
"24",2020-12-01,3366250,0,3366250
"25",2021-01-01,3239328,0,3239328
"26",2021-02-01,3262944,0,3262944
"27",2021-03-01,3886968,0,3886968
"28",2021-04-01,3715170,0,3715170
"29",2021-05-01,3801486,0,3801486
"30",2021-06-01,3972448,0,3972448
"31",2021-07-01,3890550,0,3890550
"32",2021-08-01,3672436,0,3672436
"33",2021-09-01,3865270,0,3865270
"34",2021-10-01,3889434,0,3889434
"35",2021-11-01,4060028,0,4060028
"36",2021-12-01,3637868,0,3637868
"37",2022-01-01,3839748,0,3839748
"38",2022-02-01,3770896,0,3770896
"39",2022-03-01,4213238,0,4213238
"40",2022-04-01,3765362,0,3765362
"41",2022-05-01,4173722,0,4173722
"42",2022-06-01,3943762,0,3943762
"43",2022-07-01,3963186,0,3963186
"44",2022-08-01,4100488,0,4100488
"45",2022-09-01,4072522,0,4072522
"46",2022-10-01,4153414,0,4153414
"47",2022-11-01,4390080,0,4390080
"48",2022-12-01,3769954,0,3769954
"49",2023-01-01,4391434,0,4391434
"50",2023-02-01,4147466,0,4147466
"51",2023-03-01,4633166,224576,4408590
"52",2023-04-01,4059608,182400,3877208
"53",2023-05-01,4434326,204834,4229492
"54",2023-06-01,4536586,239358,4297228
"55",2023-07-01,4486520,274668,4211852
"56",2023-08-01,4495938,273944,4221994
"57",2023-09-01,4422378,281746,4140632
"58",2023-10-01,4644794,320558,4324236
"59",2023-11-01,4767882,346312,4421570
"60",2023-12-01,4205524,323516,3882008
"61",2024-01-01,4820124,389244,4430880
"62",2024-02-01,4492828,387672,4105156
"63",2024-03-01,4529310,406442,4122868
"64",2024-04-01,4681012,399130,4281882
"65",2024-05-01,4864512,428252,4436260
"66",2024-06-01,4680278,433668,4246610
